employee_id,name,role,department
EMP-0001,Employee 001,采购申请人,采购部
EMP-0002,Employee 002,采购申请人,采购部
EMP-0003,Employee 003,采购申请人,采购部
EMP-0004,Employee 004,采购申请人,采购部
EMP-0005,Employee 005,采购申请人,采购部
EMP-0006,Employee 006,采购申请人,采购部
EMP-0007,Employee 007,采购申请人,采购部
EMP-0008,Employee 008,采购申请人,采购部
EMP-0009,Employee 009,采购申请人,采购部
EMP-0010,Employee 010,采购申请人,采购部
EMP-0011,Employee 011,采购申请人,采购部
EMP-0012,Employee 012,采购申请人,采购部
EMP-0013,Employee 013,采购申请人,采购部
EMP-0014,Employee 014,采购申请人,采购部
EMP-0015,Employee 015,采购申请人,采购部
EMP-0016,Employee 016,采购申请人,采购部
EMP-0017,Employee 017,采购申请人,采购部
EMP-0018,Employee 018,采购申请人,采购部
EMP-0019,Employee 019,采购申请人,采购部
EMP-0020,Employee 020,采购申请人,采购部
EMP-0021,Employee 021,采购申请人,采购部
EMP-0022,Employee 022,采购申请人,采购部
EMP-0023,Employee 023,采购申请人,采购部
EMP-0024,Employee 024,采购申请人,采购部
EMP-0025,Employee 025,采购申请人,采购部
EMP-0026,Employee 026,采购申请人,采购部
EMP-0027,Employee 027,采购申请人,采购部
EMP-0028,Employee 028,采购申请人,采购部
EMP-0029,Employee 029,采购申请人,采购部
EMP-0030,Employee 030,采购申请人,采购部
EMP-0031,Employee 031,采购申请人,采购部
EMP-0032,Employee 032,采购申请人,采购部
EMP-0033,Employee 033,采购申请人,采购部
EMP-0034,Employee 034,采购申请人,采购部
EMP-0035,Employee 035,采购申请人,采购部
EMP-0036,Employee 036,采购申请人,采购部
EMP-0037,Employee 037,采购申请人,采购部
EMP-0038,Employee 038,采购申请人,采购部
EMP-0039,Employee 039,采购申请人,采购部
EMP-0040,Employee 040,采购申请人,采购部
EMP-0041,Employee 041,部门经理,采购部
EMP-0042,Employee 042,部门经理,采购部
EMP-0043,Employee 043,部门经理,采购部
EMP-0044,Employee 044,部门经理,采购部
EMP-0045,Employee 045,部门经理,采购部
EMP-0046,Employee 046,部门经理,采购部
EMP-0047,Employee 047,部门经理,采购部
EMP-0048,Employee 048,部门经理,采购部
EMP-0049,Employee 049,采购总监,采购中心
EMP-0050,Employee 050,采购总监,采购中心
EMP-0051,Employee 051,采购总监,采购中心
EMP-0052,Employee 052,采购专员,采购部
EMP-0053,Employee 053,采购专员,采购部
EMP-0054,Employee 054,采购专员,采购部
EMP-0055,Employee 055,采购专员,采购部
EMP-0056,Employee 056,采购专员,采购部
EMP-0057,Employee 057,采购专员,采购部
EMP-0058,Employee 058,采购专员,采购部
EMP-0059,Employee 059,采购专员,采购部
EMP-0060,Employee 060,采购专员,采购部
EMP-0061,Employee 061,采购专员,采购部
EMP-0062,Employee 062,仓储专员,供应链部
EMP-0063,Employee 063,仓储专员,供应链部
EMP-0064,Employee 064,仓储专员,供应链部
EMP-0065,Employee 065,仓储专员,供应链部
EMP-0066,Employee 066,仓储专员,供应链部
EMP-0067,Employee 067,仓储专员,供应链部
EMP-0068,Employee 068,仓储专员,供应链部
EMP-0069,Employee 069,仓储专员,供应链部
EMP-0070,Employee 070,质检员,供应链部
EMP-0071,Employee 071,质检员,供应链部
EMP-0072,Employee 072,质检员,供应链部
EMP-0073,Employee 073,质检员,供应链部
EMP-0074,Employee 074,质检员,供应链部
EMP-0075,Employee 075,财务专员,财务部
EMP-0076,Employee 076,财务专员,财务部
EMP-0077,Employee 077,财务专员,财务部
EMP-0078,Employee 078,财务专员,财务部
EMP-0079,Employee 079,财务专员,财务部
EMP-0080,Employee 080,财务专员,财务部
EMP-0081,Employee 081,财务专员,财务部
EMP-0082,Employee 082,财务专员,财务部
EMP-0083,Employee 083,应付会计,财务部
EMP-0084,Employee 084,应付会计,财务部
EMP-0085,Employee 085,应付会计,财务部
EMP-0086,Employee 086,应付会计,财务部
EMP-0087,Employee 087,应付会计,财务部
EMP-0088,Employee 088,出纳,财务部
EMP-0089,Employee 089,出纳,财务部
EMP-0090,Employee 090,出纳,财务部
