gr_no,po_no,received_qty,received_at
GR-000001,PO-000001,34,2024-01-04 12:41:52.634224
GR-000002,PO-000002,9,2024-01-04 10:45:56.372261
GR-000003,PO-000002,13,2024-01-05 23:40:17.714306
GR-000004,PO-000003,16,2024-01-04 09:30:39.611469
GR-000005,PO-000004,57,2024-01-03 15:57:21.261700
GR-000006,PO-000005,126,2024-01-05 08:18:10.462098
GR-000007,PO-000005,71,2024-01-07 12:04:46.416843
GR-000008,PO-000006,119,2024-01-04 04:16:04.274726
GR-000009,PO-000007,12,2024-01-04 01:41:39.824182
GR-000010,PO-000008,32,2024-01-05 15:35:02.860330
GR-000011,PO-000008,65,2024-01-08 01:27:41.146499
GR-000012,PO-000009,80,2024-01-03 14:54:08.072556
GR-000013,PO-000009,6,2024-01-06 20:10:55.757670
GR-000014,PO-000010,39,2024-01-06 02:11:39.098744
GR-000015,PO-000011,76,2024-01-05 07:38:59.156357
GR-000016,PO-000011,46,2024-01-05 12:32:29.639349
GR-000017,PO-000012,14,2024-01-05 17:56:24.231967
GR-000018,PO-000013,12,2024-01-06 04:49:24.840672
GR-000019,PO-000014,100,2024-01-06 11:56:26.097095
GR-000020,PO-000014,14,2024-01-08 05:59:32.021241
GR-000021,PO-000015,100,2024-01-05 00:23:18.525467
GR-000022,PO-000016,145,2024-01-05 03:13:02.821782
GR-000023,PO-000017,146,2024-01-06 11:01:25.202649
GR-000024,PO-000018,143,2024-01-06 19:48:48.343186
GR-000025,PO-000018,182,2024-01-09 14:12:30.740293
GR-000026,PO-000019,81,2024-01-06 17:52:39.516567
GR-000027,PO-000020,24,2024-01-05 13:08:15.834917
GR-000028,PO-000020,15,2024-01-07 04:01:17.166812
GR-000029,PO-000021,34,2024-01-07 04:03:42.855232
GR-000030,PO-000022,8,2024-01-05 20:01:13.518306
GR-000031,PO-000023,116,2024-01-07 18:27:15.254341
GR-000032,PO-000024,70,2024-01-07 20:42:29.538326
GR-000033,PO-000025,155,2024-01-09 08:10:11.891462
GR-000034,PO-000026,35,2024-01-07 16:46:07.778408
GR-000035,PO-000027,149,2024-01-06 21:52:00.880260
GR-000036,PO-000027,87,2024-01-08 20:10:07.900532
GR-000037,PO-000028,22,2024-01-09 04:05:54.020756
GR-000038,PO-000029,12,2024-01-07 02:30:29.780746
GR-000039,PO-000030,1,2024-01-07 22:59:02.722665
GR-000040,PO-000031,25,2024-01-08 15:30:25.685138
GR-000041,PO-000032,74,2024-01-08 03:32:01.128935
GR-000042,PO-000033,65,2024-01-09 03:40:59.106490
GR-000043,PO-000033,121,2024-01-11 23:36:06.034886
GR-000044,PO-000034,65,2024-01-08 00:28:50.521064
GR-000045,PO-000035,33,2024-01-10 08:15:31.880790
GR-000046,PO-000035,24,2024-01-12 20:42:41.951939
GR-000047,PO-000036,149,2024-01-08 11:45:53.430407
GR-000048,PO-000037,46,2024-01-08 09:27:56.909638
GR-000049,PO-000038,199,2024-01-11 04:58:56.779826
GR-000050,PO-000039,30,2024-01-11 05:51:30.483089
GR-000051,PO-000039,52,2024-01-12 09:37:28.988282
GR-000052,PO-000040,82,2024-01-08 22:45:16.355822
GR-000053,PO-000041,14,2024-01-10 12:23:47.521989
GR-000054,PO-000042,94,2024-01-12 13:36:23.295797
GR-000055,PO-000042,54,2024-01-13 21:33:27.269075
GR-000056,PO-000043,34,2024-01-10 15:19:54.179741
GR-000057,PO-000043,34,2024-01-11 18:54:14.397705
GR-000058,PO-000044,64,2024-01-11 02:50:45.436397
GR-000059,PO-000045,6,2024-01-11 10:11:08.447452
GR-000060,PO-000046,36,2024-01-11 04:31:24.583093
GR-000061,PO-000047,67,2024-01-12 10:15:48.096546
GR-000062,PO-000048,1,2024-01-12 21:05:47.934106
GR-000063,PO-000049,29,2024-01-12 22:06:40.990471
GR-000064,PO-000049,77,2024-01-13 19:05:36.847720
GR-000065,PO-000050,85,2024-01-12 12:43:56.156461
GR-000066,PO-000051,43,2024-01-12 08:21:35.917571
GR-000067,PO-000052,65,2024-01-12 03:15:34.453313
GR-000068,PO-000053,43,2024-01-11 20:28:28.714828
GR-000069,PO-000053,37,2024-01-14 20:06:42.531193
