gr_no,item_no,material_code,qty
GR-000001,010,MAT-00035,34
GR-000002,010,MAT-00031,9
GR-000003,010,MAT-00031,13
GR-000004,010,MAT-00013,16
GR-000005,010,MAT-00032,57
GR-000006,010,MAT-00025,30
GR-000006,020,MAT-00030,39
GR-000006,030,MAT-00032,57
GR-000007,010,MAT-00032,28
GR-000007,020,MAT-00025,43
GR-000008,010,MAT-00049,10
GR-000008,020,MAT-00042,39
GR-000008,030,MAT-00028,70
GR-000009,010,MAT-00032,12
GR-000010,010,MAT-00024,13
GR-000010,020,MAT-00016,19
GR-000011,010,MAT-00044,16
GR-000011,020,MAT-00016,29
GR-000011,030,MAT-00008,20
GR-000012,010,MAT-00055,60
GR-000012,020,MAT-00037,20
GR-000013,010,MAT-00008,6
GR-000014,010,MAT-00049,39
GR-000015,010,MAT-00012,76
GR-000016,010,MAT-00012,46
GR-000017,010,MAT-00002,14
GR-000018,010,MAT-00022,12
GR-000019,010,MAT-00044,16
GR-000019,020,MAT-00040,84
GR-000020,010,MAT-00045,14
GR-000021,010,MAT-00059,35
GR-000021,020,MAT-00044,65
GR-000022,010,MAT-00024,80
GR-000022,020,MAT-00012,65
GR-000023,010,MAT-00025,37
GR-000023,020,MAT-00009,33
GR-000023,030,MAT-00028,49
GR-000023,040,MAT-00039,27
GR-000024,010,MAT-00026,28
GR-000024,020,MAT-00034,67
GR-000024,030,MAT-00023,48
GR-000025,010,MAT-00026,73
GR-000025,020,MAT-00023,38
GR-000025,030,MAT-00034,71
GR-000026,010,MAT-00021,32
GR-000026,020,MAT-00016,49
GR-000027,010,MAT-00045,24
GR-000028,010,MAT-00045,15
GR-000029,010,MAT-00015,34
GR-000030,010,MAT-00029,8
GR-000031,010,MAT-00054,27
GR-000031,020,MAT-00033,27
GR-000031,030,MAT-00039,62
GR-000032,010,MAT-00015,70
GR-000033,010,MAT-00001,27
GR-000033,020,MAT-00029,65
GR-000033,030,MAT-00007,63
GR-000034,010,MAT-00008,17
GR-000034,020,MAT-00045,18
GR-000035,010,MAT-00001,39
GR-000035,020,MAT-00044,72
GR-000035,030,MAT-00036,38
GR-000036,010,MAT-00044,51
GR-000036,020,MAT-00001,36
GR-000037,010,MAT-00057,22
GR-000038,010,MAT-00013,12
GR-000039,010,MAT-00052,1
GR-000040,010,MAT-00001,7
GR-000040,020,MAT-00036,18
GR-000041,010,MAT-00012,41
GR-000041,020,MAT-00045,33
GR-000042,010,MAT-00028,36
GR-000042,020,MAT-00003,29
GR-000043,010,MAT-00028,55
GR-000043,020,MAT-00016,66
GR-000044,010,MAT-00056,65
GR-000045,010,MAT-00018,33
GR-000046,010,MAT-00018,24
GR-000047,010,MAT-00012,42
GR-000047,020,MAT-00040,58
GR-000047,030,MAT-00017,49
GR-000048,010,MAT-00052,13
GR-000048,020,MAT-00019,33
GR-000049,010,MAT-00020,46
GR-000049,020,MAT-00040,31
GR-000049,030,MAT-00022,39
GR-000049,040,MAT-00014,83
GR-000050,010,MAT-00055,30
GR-000051,010,MAT-00055,52
GR-000052,010,MAT-00035,45
GR-000052,020,MAT-00015,9
GR-000052,030,MAT-00010,28
GR-000053,010,MAT-00058,14
GR-000054,010,MAT-00019,94
GR-000055,010,MAT-00019,54
GR-000056,010,MAT-00020,34
GR-000057,010,MAT-00004,2
GR-000057,020,MAT-00020,32
GR-000058,010,MAT-00043,20
GR-000058,020,MAT-00023,44
GR-000059,010,MAT-00058,4
GR-000059,020,MAT-00056,2
GR-000060,010,MAT-00028,30
GR-000060,020,MAT-00041,6
GR-000061,010,MAT-00058,67
GR-000062,010,MAT-00008,1
GR-000063,010,MAT-00006,29
GR-000064,010,MAT-00049,45
GR-000064,020,MAT-00006,32
GR-000065,010,MAT-00060,42
GR-000065,020,MAT-00041,43
GR-000066,010,MAT-00021,43
GR-000067,010,MAT-00056,65
GR-000068,010,MAT-00005,43
GR-000069,010,MAT-00008,15
GR-000069,020,MAT-00005,22
GR-000070,010,MAT-00013,31
GR-000071,010,MAT-00007,26
GR-000071,020,MAT-00005,13
GR-000072,010,MAT-00007,29
GR-000072,020,MAT-00005,9
GR-000073,010,MAT-00006,31
GR-000074,010,MAT-00029,1
GR-000075,010,MAT-00042,10
GR-000075,020,MAT-00030,14
GR-000075,030,MAT-00019,28
GR-000076,010,MAT-00049,66
GR-000076,020,MAT-00014,70
GR-000076,030,MAT-00023,33
GR-000077,010,MAT-00046,9
GR-000078,010,MAT-00046,6
GR-000079,010,MAT-00046,2
GR-000080,010,MAT-00033,1
GR-000080,020,MAT-00047,24
GR-000081,010,MAT-00025,4
GR-000082,010,MAT-00045,20
GR-000083,010,MAT-00047,28
GR-000084,010,MAT-00032,45
GR-000084,020,MAT-00051,15
GR-000084,030,MAT-00037,35
GR-000085,010,MAT-00014,33
GR-000086,010,MAT-00031,6
GR-000086,020,MAT-00011,70
GR-000086,030,MAT-00027,35
GR-000087,010,MAT-00031,7
GR-000087,020,MAT-00011,73
GR-000088,010,MAT-00033,60
GR-000088,020,MAT-00047,1
GR-000088,030,MAT-00013,36
GR-000089,010,MAT-00057,15
GR-000090,010,MAT-00012,52
GR-000091,010,MAT-00034,16
GR-000091,020,MAT-00008,40
GR-000092,010,MAT-00037,26
GR-000093,010,MAT-00032,48
GR-000094,010,MAT-00058,66
GR-000095,010,MAT-00021,29
GR-000096,010,MAT-00021,14
GR-000097,010,MAT-00010,5
GR-000097,020,MAT-00051,50
GR-000097,030,MAT-00035,1
GR-000097,040,MAT-00054,32
GR-000098,010,MAT-00047,4
GR-000099,010,MAT-00005,21
GR-000100,010,MAT-00054,16
GR-000100,020,MAT-00041,33
GR-000101,010,MAT-00004,35
GR-000101,020,MAT-00035,16
GR-000101,030,MAT-00025,22
GR-000102,010,MAT-00005,1
GR-000102,020,MAT-00053,24
GR-000103,010,MAT-00010,51
GR-000104,010,MAT-00016,17
GR-000105,010,MAT-00014,33
GR-000106,010,MAT-00010,57
GR-000106,020,MAT-00021,42
GR-000107,010,MAT-00017,8
GR-000107,020,MAT-00003,43
GR-000108,010,MAT-00017,13
GR-000109,010,MAT-00034,64
GR-000109,020,MAT-00013,38
GR-000110,010,MAT-00025,23
GR-000110,020,MAT-00045,42
GR-000110,030,MAT-00002,5
GR-000111,010,MAT-00002,6
GR-000112,010,MAT-00050,14
GR-000113,010,MAT-00020,26
GR-000114,010,MAT-00012,27
GR-000115,010,MAT-00028,67
GR-000115,020,MAT-00005,18
GR-000115,030,MAT-00001,20
GR-000116,010,MAT-00016,5
GR-000117,010,MAT-00016,9
GR-000117,020,MAT-00019,45
GR-000117,030,MAT-00050,34
GR-000117,040,MAT-00057,1
GR-000118,010,MAT-00017,38
GR-000119,010,MAT-00017,49
GR-000120,010,MAT-00019,34
GR-000121,010,MAT-00006,25
GR-000121,020,MAT-00013,15
GR-000122,010,MAT-00006,22
GR-000122,020,MAT-00013,26
GR-000123,010,MAT-00055,51
GR-000123,020,MAT-00060,29
GR-000123,030,MAT-00003,11
GR-000123,040,MAT-00056,37
GR-000124,010,MAT-00056,39
GR-000125,010,MAT-00016,27
GR-000126,010,MAT-00045,59
GR-000127,010,MAT-00045,61
GR-000127,020,MAT-00031,69
GR-000127,030,MAT-00011,16
GR-000128,010,MAT-00045,2
GR-000129,010,MAT-00059,24
GR-000130,010,MAT-00056,65
GR-000130,020,MAT-00028,86
GR-000130,030,MAT-00020,66
GR-000131,010,MAT-00048,6
GR-000132,010,MAT-00040,1
GR-000132,020,MAT-00012,78
GR-000133,010,MAT-00006,90
GR-000134,010,MAT-00014,6
GR-000134,020,MAT-00005,37
GR-000135,010,MAT-00004,49
GR-000135,020,MAT-00002,59
GR-000136,010,MAT-00036,11
GR-000136,020,MAT-00033,12
GR-000137,010,MAT-00049,46
GR-000137,020,MAT-00033,13
GR-000137,030,MAT-00039,16
GR-000137,040,MAT-00036,11
GR-000138,010,MAT-00026,40
GR-000139,010,MAT-00012,55
GR-000140,010,MAT-00012,22
GR-000141,010,MAT-00054,28
GR-000142,010,MAT-00014,3
GR-000143,010,MAT-00014,4
GR-000144,010,MAT-00018,38
GR-000144,020,MAT-00050,23
GR-000144,030,MAT-00024,55
GR-000144,040,MAT-00051,34
GR-000145,010,MAT-00024,25
GR-000146,010,MAT-00055,1
GR-000146,020,MAT-00004,1
GR-000146,030,MAT-00031,80
GR-000146,040,MAT-00003,19
GR-000147,010,MAT-00002,68
GR-000147,020,MAT-00005,62
GR-000148,010,MAT-00002,61
GR-000149,010,MAT-00017,32
GR-000150,010,MAT-00017,46
GR-000151,010,MAT-00017,18
GR-000152,010,MAT-00056,9
GR-000153,010,MAT-00008,55
GR-000153,020,MAT-00019,34
GR-000153,030,MAT-00051,29
GR-000154,010,MAT-00051,1
GR-000155,010,MAT-00026,73
GR-000156,010,MAT-00026,84
GR-000157,010,MAT-00060,74
GR-000158,010,MAT-00026,7
GR-000158,020,MAT-00003,33
GR-000158,030,MAT-00060,63
GR-000159,010,MAT-00043,24
GR-000160,010,MAT-00009,14
GR-000160,020,MAT-00010,53
GR-000160,030,MAT-00014,41
GR-000161,010,MAT-00038,5
GR-000161,020,MAT-00010,3
GR-000162,010,MAT-00038,22
GR-000163,010,MAT-00055,64
GR-000163,020,MAT-00018,21
GR-000164,010,MAT-00003,17
GR-000164,020,MAT-00044,23
GR-000164,030,MAT-00008,32
GR-000164,040,MAT-00024,20
GR-000165,010,MAT-00003,8
GR-000165,020,MAT-00024,22
GR-000166,010,MAT-00020,23
GR-000166,020,MAT-00025,68
GR-000166,030,MAT-00031,22
GR-000166,040,MAT-00034,30
GR-000167,010,MAT-00031,13
GR-000167,020,MAT-00034,15
GR-000167,030,MAT-00025,43
GR-000168,010,MAT-00021,38
GR-000168,020,MAT-00049,50
GR-000168,030,MAT-00057,11
GR-000169,010,MAT-00039,1
GR-000170,010,MAT-00045,52
GR-000170,020,MAT-00048,13
GR-000170,030,MAT-00011,19
GR-000171,010,MAT-00030,69
GR-000171,020,MAT-00038,49
GR-000171,030,MAT-00058,81
GR-000172,010,MAT-00030,74
GR-000173,010,MAT-00025,50
GR-000173,020,MAT-00003,33
GR-000173,030,MAT-00003,17
GR-000174,010,MAT-00003,9
GR-000174,020,MAT-00003,30
GR-000175,010,MAT-00007,10
GR-000175,020,MAT-00033,45
GR-000176,010,MAT-00003,35
GR-000176,020,MAT-00002,33
GR-000177,010,MAT-00043,2
GR-000177,020,MAT-00027,72
GR-000177,030,MAT-00036,9
GR-000178,010,MAT-00050,36
GR-000178,020,MAT-00042,31
GR-000178,030,MAT-00033,4
GR-000179,010,MAT-00036,3
GR-000180,010,MAT-00001,10
GR-000181,010,MAT-00029,41
GR-000182,010,MAT-00038,75
GR-000182,020,MAT-00011,39
GR-000182,030,MAT-00035,64
GR-000183,010,MAT-00035,26
GR-000184,010,MAT-00053,30
GR-000184,020,MAT-00031,36
GR-000185,010,MAT-00031,75
GR-000186,010,MAT-00031,54
GR-000186,020,MAT-00043,14
GR-000187,010,MAT-00035,46
GR-000188,010,MAT-00029,63
GR-000188,020,MAT-00037,24
GR-000188,030,MAT-00008,30
GR-000189,010,MAT-00048,55
GR-000190,010,MAT-00002,64
GR-000191,010,MAT-00051,3
GR-000192,010,MAT-00022,44
GR-000192,020,MAT-00025,22
GR-000192,030,MAT-00026,59
GR-000192,040,MAT-00060,30
GR-000193,010,MAT-00013,39
GR-000194,010,MAT-00035,58
GR-000194,020,MAT-00043,49
GR-000195,010,MAT-00050,29
GR-000196,010,MAT-00025,17
GR-000196,020,MAT-00021,32
GR-000196,030,MAT-00039,84
GR-000197,010,MAT-00025,15
GR-000198,010,MAT-00046,35
GR-000198,020,MAT-00037,36
GR-000199,010,MAT-00059,1
GR-000200,010,MAT-00007,7
GR-000201,010,MAT-00060,15
GR-000202,010,MAT-00037,49
GR-000203,010,MAT-00019,28
GR-000204,010,MAT-00002,81
GR-000205,010,MAT-00038,11
GR-000206,010,MAT-00038,22
GR-000207,010,MAT-00038,29
GR-000208,010,MAT-00028,1
GR-000209,010,MAT-00043,33
GR-000209,020,MAT-00030,8
GR-000210,010,MAT-00027,37
GR-000211,010,MAT-00009,14
GR-000212,010,MAT-00021,49
GR-000212,020,MAT-00045,10
GR-000212,030,MAT-00026,2
GR-000213,010,MAT-00034,9
GR-000214,010,MAT-00044,56
GR-000215,010,MAT-00040,3
GR-000215,020,MAT-00044,23
GR-000216,010,MAT-00030,38
GR-000216,020,MAT-00044,13
GR-000216,030,MAT-00014,1
GR-000217,010,MAT-00044,5
GR-000218,010,MAT-00029,37
GR-000219,010,MAT-00015,45
GR-000220,010,MAT-00039,10
GR-000220,020,MAT-00015,39
GR-000221,010,MAT-00031,41
GR-000222,010,MAT-00003,14
GR-000223,010,MAT-00030,25
GR-000224,010,MAT-00030,20
GR-000225,010,MAT-00005,16
GR-000226,010,MAT-00025,13
GR-000227,010,MAT-00002,42
GR-000228,010,MAT-00032,17
GR-000228,020,MAT-00060,29
GR-000228,030,MAT-00058,56
GR-000229,010,MAT-00058,72
GR-000230,010,MAT-00023,15
GR-000230,020,MAT-00006,20
GR-000231,010,MAT-00059,30
GR-000232,010,MAT-00030,26
GR-000233,010,MAT-00025,66
GR-000233,020,MAT-00049,34
GR-000234,010,MAT-00051,1
GR-000234,020,MAT-00058,54
GR-000234,030,MAT-00019,12
GR-000235,010,MAT-00034,28
GR-000235,020,MAT-00024,27
GR-000236,010,MAT-00031,15
GR-000236,020,MAT-00020,15
GR-000236,030,MAT-00017,13
GR-000237,010,MAT-00017,36
GR-000238,010,MAT-00010,38
GR-000238,020,MAT-00033,53
GR-000239,010,MAT-00020,24
GR-000240,010,MAT-00029,15
GR-000241,010,MAT-00029,44
GR-000242,010,MAT-00029,37
GR-000242,020,MAT-00024,39
GR-000243,010,MAT-00019,59
GR-000244,010,MAT-00019,48
GR-000245,010,MAT-00047,4
GR-000246,010,MAT-00047,4
GR-000247,010,MAT-00060,41
GR-000248,010,MAT-00060,69
GR-000249,010,MAT-00010,18
GR-000250,010,MAT-00010,24
GR-000251,010,MAT-00010,3
GR-000252,010,MAT-00018,46
GR-000253,010,MAT-00018,56
GR-000253,020,MAT-00027,40
GR-000253,030,MAT-00015,55
GR-000254,010,MAT-00028,69
GR-000254,020,MAT-00055,9
GR-000255,010,MAT-00015,16
GR-000255,020,MAT-00029,2
GR-000255,030,MAT-00038,26
GR-000256,010,MAT-00027,24
GR-000256,020,MAT-00043,12
GR-000257,010,MAT-00027,19
GR-000257,020,MAT-00011,34
GR-000258,010,MAT-00012,60
GR-000258,020,MAT-00055,7
GR-000259,010,MAT-00020,5
GR-000259,020,MAT-00047,70
GR-000260,010,MAT-00033,33
GR-000260,020,MAT-00028,3
GR-000260,030,MAT-00005,31
GR-000261,010,MAT-00037,30
GR-000262,010,MAT-00051,15
GR-000263,010,MAT-00021,29
GR-000264,010,MAT-00040,59
GR-000264,020,MAT-00021,13
GR-000265,010,MAT-00006,63
GR-000265,020,MAT-00019,41
GR-000265,030,MAT-00056,15
GR-000265,040,MAT-00016,15
GR-000266,010,MAT-00032,13
GR-000266,020,MAT-00028,47
GR-000266,030,MAT-00037,21
GR-000267,010,MAT-00037,27
GR-000267,020,MAT-00032,11
GR-000268,010,MAT-00051,51
GR-000269,010,MAT-00051,61
