invoice_no,po_no,amount,status,received_at
INV-000001,PO-000001,85523.15,PAID,2024-01-07 15:00:45.141173
INV-000002,PO-000002,49508.84,PAID,2024-01-10 21:20:12.435627
INV-000003,PO-000003,185983.98,PAID,2024-01-09 00:13:39.620685
INV-000004,PO-000004,42005.27,PAID,2024-01-04 13:27:00.700615
INV-000005,PO-000005,90146.21,PAID,2024-01-09 06:36:06.530236
INV-000006,PO-000006,100230.22,PAID,2024-01-06 21:57:59.517890
INV-000007,PO-000007,52336.24,PAID,2024-01-07 21:29:46.699269
INV-000008,PO-000008,68181.08,PAID,2024-01-09 15:56:42.485562
INV-000009,PO-000009,157085.47,PAID,2024-01-10 09:35:35.584325
INV-000010,PO-000010,16869.58,PAID,2024-01-10 02:40:39.769958
INV-000011,PO-000011,115091.81,PAID,2024-01-08 19:14:47.077051
INV-000012,PO-000012,52710.53,PAID,2024-01-06 14:35:29.514450
INV-000013,PO-000012,34803.6,PAID,2024-01-10 05:09:36.645458
INV-000014,PO-000013,9201.47,PAID,2024-01-10 06:24:30.788366
INV-000015,PO-000013,6231.1,PAID,2024-01-15 02:15:29.432727
INV-000016,PO-000014,150206.23,PAID,2024-01-11 11:16:44.957237
INV-000017,PO-000015,282968.44,PAID,2024-01-07 15:37:43.941836
INV-000018,PO-000016,106392.44,PAID,2024-01-06 09:21:41.964303
INV-000019,PO-000016,72624.59,PAID,2024-01-11 15:50:43.891775
INV-000020,PO-000017,225651.87,PAID,2024-01-10 00:35:26.755770
INV-000021,PO-000018,114546.11,PAID,2024-01-12 23:18:59.578523
INV-000022,PO-000019,60663.95,PAID,2024-01-12 01:06:55.358232
INV-000023,PO-000019,40321.6,PAID,2024-01-15 02:34:59.104908
INV-000024,PO-000020,35592.68,PAID,2024-01-12 10:10:34.086472
INV-000025,PO-000021,281528.34,PAID,2024-01-09 21:38:20.040265
INV-000026,PO-000022,33852.13,PAID,2024-01-07 23:34:41.570121
INV-000027,PO-000022,21931.8,PAID,2024-01-13 00:26:27.768164
INV-000028,PO-000023,213569.23,PAID,2024-01-10 11:57:23.715184
INV-000029,PO-000024,196642.52,PAID,2024-01-12 11:09:32.337538
INV-000030,PO-000025,183271.41,PAID,2024-01-11 06:10:36.056528
INV-000031,PO-000026,29678.18,PAID,2024-01-11 14:40:21.982223
INV-000032,PO-000027,206170.68,PAID,2024-01-11 07:11:44.619816
INV-000033,PO-000028,10227.52,PAID,2024-01-12 02:38:07.805160
INV-000034,PO-000028,6819.5,PAID,2024-01-17 01:48:51.839807
INV-000035,PO-000029,9261.28,PAID,2024-01-12 04:17:26.324012
INV-000036,PO-000030,23498.6,PAID,2024-01-12 16:09:27.502834
INV-000037,PO-000031,151675.14,PAID,2024-01-10 00:04:45.473779
INV-000038,PO-000032,115690.64,PAID,2024-01-12 14:25:08.832365
INV-000039,PO-000033,169163.72,PAID,2024-01-13 05:54:13.567275
