material_code,material_name,category
MAT-00001,Material 001,办公用品
MAT-00002,Material 002,办公用品
MAT-00003,Material 003,原材料
MAT-00004,Material 004,IT设备
MAT-00005,Material 005,IT设备
MAT-00006,Material 006,IT设备
MAT-00007,Material 007,办公用品
MAT-00008,Material 008,劳保用品
MAT-00009,Material 009,办公用品
MAT-00010,Material 010,劳保用品
MAT-00011,Material 011,包装材料
MAT-00012,Material 012,办公用品
MAT-00013,Material 013,办公用品
MAT-00014,Material 014,办公用品
MAT-00015,Material 015,IT设备
MAT-00016,Material 016,IT设备
MAT-00017,Material 017,劳保用品
MAT-00018,Material 018,劳保用品
MAT-00019,Material 019,办公用品
MAT-00020,Material 020,劳保用品
MAT-00021,Material 021,IT设备
MAT-00022,Material 022,劳保用品
MAT-00023,Material 023,包装材料
MAT-00024,Material 024,IT设备
MAT-00025,Material 025,包装材料
MAT-00026,Material 026,劳保用品
MAT-00027,Material 027,原材料
MAT-00028,Material 028,办公用品
MAT-00029,Material 029,IT设备
MAT-00030,Material 030,包装材料
MAT-00031,Material 031,原材料
MAT-00032,Material 032,原材料
MAT-00033,Material 033,IT设备
MAT-00034,Material 034,IT设备
MAT-00035,Material 035,原材料
MAT-00036,Material 036,办公用品
MAT-00037,Material 037,办公用品
MAT-00038,Material 038,包装材料
MAT-00039,Material 039,办公用品
MAT-00040,Material 040,原材料
MAT-00041,Material 041,原材料
MAT-00042,Material 042,劳保用品
MAT-00043,Material 043,原材料
MAT-00044,Material 044,办公用品
MAT-00045,Material 045,包装材料
MAT-00046,Material 046,劳保用品
MAT-00047,Material 047,办公用品
MAT-00048,Material 048,包装材料
MAT-00049,Material 049,办公用品
MAT-00050,Material 050,劳保用品
MAT-00051,Material 051,原材料
MAT-00052,Material 052,劳保用品
MAT-00053,Material 053,原材料
MAT-00054,Material 054,劳保用品
MAT-00055,Material 055,IT设备
MAT-00056,Material 056,办公用品
MAT-00057,Material 057,办公用品
MAT-00058,Material 058,IT设备
MAT-00059,Material 059,原材料
MAT-00060,Material 060,办公用品
