po_no,item_no,material_code,qty,unit_price
PO-000001,010,MAT-00035,88,641.91
PO-000001,020,MAT-00005,50,581.7
PO-000002,010,MAT-00035,22,618.52
PO-000002,020,MAT-00031,28,1299.01
PO-000003,010,MAT-00052,78,1476.59
PO-000003,020,MAT-00008,50,1350.76
PO-000003,030,MAT-00013,33,80.91
PO-000003,040,MAT-00028,1,787.08
PO-000004,010,MAT-00032,60,284.87
PO-000004,020,MAT-00017,49,501.12
PO-000005,010,MAT-00032,58,377.14
PO-000005,020,MAT-00030,73,921.34
PO-000005,030,MAT-00025,44,57.62
PO-000006,010,MAT-00028,74,74.74
PO-000006,020,MAT-00049,23,713.69
PO-000006,030,MAT-00042,57,1375.37
PO-000007,010,MAT-00032,22,274.98
PO-000007,020,MAT-00040,49,935.27
PO-000008,010,MAT-00008,36,63.58
PO-000008,020,MAT-00024,28,673.42
PO-000008,030,MAT-00016,47,162.54
PO-000008,040,MAT-00044,48,823.53
PO-000009,010,MAT-00008,15,1147.47
PO-000009,020,MAT-00037,29,1213.72
PO-000009,030,MAT-00055,72,1462.2
PO-000010,010,MAT-00049,65,125.17
PO-000010,020,MAT-00030,58,70.85
PO-000010,030,MAT-00024,37,128.95
PO-000011,010,MAT-00012,92,1271.15
PO-000012,010,MAT-00022,47,776.93
PO-000012,020,MAT-00048,87,252.58
PO-000012,030,MAT-00002,19,1275.27
PO-000012,040,MAT-00044,57,66.68
PO-000013,010,MAT-00022,41,373.98
PO-000014,010,MAT-00044,28,315.07
PO-000014,020,MAT-00035,35,1400.54
PO-000014,030,MAT-00045,35,218.85
PO-000014,040,MAT-00040,95,886.44
PO-000015,010,MAT-00029,48,1489.39
PO-000015,020,MAT-00025,58,1306.39
PO-000015,030,MAT-00059,49,572.83
PO-000015,040,MAT-00044,85,1313.71
PO-000016,010,MAT-00024,93,826.62
PO-000016,020,MAT-00012,70,1485.63
PO-000017,010,MAT-00039,43,1264.8
PO-000017,020,MAT-00025,43,668.73
PO-000017,030,MAT-00028,84,1461.72
PO-000017,040,MAT-00009,39,491.19
PO-000018,010,MAT-00034,77,592.13
PO-000018,020,MAT-00026,76,184.63
PO-000018,030,MAT-00023,59,931.78
PO-000019,010,MAT-00021,36,972.26
PO-000019,020,MAT-00016,71,907.48
PO-000020,010,MAT-00045,28,1256.35
PO-000021,010,MAT-00035,84,486.17
PO-000021,020,MAT-00046,72,1044.94
PO-000021,030,MAT-00060,79,1183.68
PO-000021,040,MAT-00015,86,889.59
PO-000022,010,MAT-00054,16,1424.64
PO-000022,020,MAT-00029,23,1424.36
PO-000023,010,MAT-00031,75,166.93
PO-000023,020,MAT-00033,85,1450.23
PO-000023,030,MAT-00054,48,848.76
PO-000023,040,MAT-00039,78,434.78
PO-000024,010,MAT-00009,46,1128.92
PO-000024,020,MAT-00011,52,43.4
PO-000024,030,MAT-00015,94,1477.55
PO-000024,040,MAT-00014,94,47.54
PO-000025,010,MAT-00029,92,687.01
PO-000025,020,MAT-00007,98,993.48
PO-000025,030,MAT-00001,44,542.38
PO-000026,010,MAT-00045,23,1106.59
PO-000026,020,MAT-00008,49,75.34
PO-000027,010,MAT-00036,82,228.95
PO-000027,020,MAT-00044,94,977.19
PO-000027,030,MAT-00001,71,1314.03
PO-000028,010,MAT-00057,30,576.64
PO-000029,010,MAT-00013,34,274.93
PO-000030,010,MAT-00003,95,237.08
PO-000030,020,MAT-00052,2,277.26
PO-000031,010,MAT-00001,25,626.43
PO-000031,020,MAT-00036,56,601.21
PO-000031,030,MAT-00011,92,1109.62
PO-000032,010,MAT-00003,72,452.65
PO-000032,020,MAT-00045,63,296.82
PO-000032,030,MAT-00012,70,531.28
PO-000032,040,MAT-00047,60,423.86
PO-000033,010,MAT-00003,53,1149.81
PO-000033,020,MAT-00028,93,495.32
PO-000033,030,MAT-00016,73,825.25
PO-000034,010,MAT-00013,14,43.33
PO-000034,020,MAT-00056,84,588.99
PO-000034,030,MAT-00025,66,1465.27
PO-000035,010,MAT-00018,67,177.33
PO-000036,010,MAT-00012,78,1273.98
PO-000036,020,MAT-00017,68,869.09
PO-000036,030,MAT-00040,46,1391.75
PO-000036,040,MAT-00040,73,752.15
PO-000037,010,MAT-00052,42,312.82
PO-000037,020,MAT-00019,36,805.43
PO-000038,010,MAT-00022,69,447.88
PO-000038,020,MAT-00040,74,679.03
PO-000038,030,MAT-00014,88,1317.98
PO-000038,040,MAT-00020,73,1194.6
PO-000039,010,MAT-00043,49,1022.56
PO-000039,020,MAT-00034,88,1434.47
PO-000039,030,MAT-00007,69,961.57
PO-000039,040,MAT-00055,56,921.57
PO-000040,010,MAT-00035,87,1307.25
PO-000040,020,MAT-00035,20,1115.46
PO-000040,030,MAT-00015,10,69.76
PO-000040,040,MAT-00010,63,985.94
PO-000041,010,MAT-00021,82,1429.85
PO-000041,020,MAT-00058,22,873.51
PO-000042,010,MAT-00056,30,734.1
PO-000042,020,MAT-00019,99,1270.59
PO-000042,030,MAT-00010,46,437.31
PO-000043,010,MAT-00004,3,727.08
PO-000043,020,MAT-00020,89,553.41
PO-000044,010,MAT-00028,13,650.8
PO-000044,020,MAT-00023,53,536.63
PO-000044,030,MAT-00043,32,382.71
PO-000044,040,MAT-00042,40,894.91
PO-000045,010,MAT-00056,3,97.16
PO-000045,020,MAT-00058,11,481.15
PO-000045,030,MAT-00020,9,1352.35
PO-000045,040,MAT-00027,47,1012.43
PO-000046,010,MAT-00041,7,610.54
PO-000046,020,MAT-00028,77,401.33
PO-000047,010,MAT-00058,75,1497.04
PO-000047,020,MAT-00001,68,1153.77
PO-000048,010,MAT-00004,87,172.9
PO-000048,020,MAT-00035,3,23.68
PO-000048,030,MAT-00008,2,270.03
PO-000049,010,MAT-00018,37,764.96
PO-000049,020,MAT-00006,35,568.07
PO-000049,030,MAT-00049,54,550.56
PO-000050,010,MAT-00060,98,220.71
PO-000050,020,MAT-00041,59,1146.09
PO-000051,010,MAT-00029,97,1066.01
PO-000051,020,MAT-00018,32,998.48
PO-000051,030,MAT-00021,44,327.78
PO-000052,010,MAT-00005,49,611.5
PO-000052,020,MAT-00040,97,625.5
PO-000052,030,MAT-00056,77,1184.4
PO-000053,010,MAT-00005,27,609.46
PO-000053,020,MAT-00053,1,553.78
PO-000053,030,MAT-00005,46,59.58
PO-000053,040,MAT-00008,19,446.51
PO-000054,010,MAT-00013,50,1433.32
PO-000055,010,MAT-00011,25,1024.74
PO-000055,020,MAT-00005,29,1438.74
PO-000055,030,MAT-00007,86,264.31
PO-000056,010,MAT-00006,65,1099.6
PO-000057,010,MAT-00029,1,693.53
PO-000058,010,MAT-00042,19,1226.98
PO-000058,020,MAT-00019,29,757.25
PO-000058,030,MAT-00030,19,908.18
PO-000059,010,MAT-00049,67,1367.51
PO-000059,020,MAT-00023,78,814.24
PO-000059,030,MAT-00014,89,162.03
PO-000060,010,MAT-00046,12,260.19
PO-000060,020,MAT-00004,11,1118.96
PO-000061,010,MAT-00046,7,1022.29
PO-000061,020,MAT-00022,55,1465.01
PO-000062,010,MAT-00047,54,792.79
PO-000062,020,MAT-00033,3,262.9
PO-000062,030,MAT-00018,90,1451.72
PO-000062,040,MAT-00019,6,1434.37
PO-000063,010,MAT-00025,14,823.79
PO-000064,010,MAT-00045,49,1103.63
PO-000064,020,MAT-00045,55,566.95
PO-000065,010,MAT-00001,65,781.71
PO-000065,020,MAT-00047,78,982.32
PO-000066,010,MAT-00032,61,810.23
PO-000066,020,MAT-00051,21,1448.9
PO-000066,030,MAT-00028,46,1370.21
PO-000066,040,MAT-00037,50,1237.18
PO-000067,010,MAT-00001,31,840.27
PO-000067,020,MAT-00026,25,930.16
PO-000067,030,MAT-00026,7,1204.98
PO-000067,040,MAT-00037,55,206.37
PO-000068,010,MAT-00037,47,1370.39
