po_no,pr_no,supplier_code,amount,status,created_at
PO-000001,PR-000001,SUP-011,85573.08,SENT,2024-01-02 11:18:26.580607
PO-000002,PR-000001,SUP-002,49979.72,SENT,2024-01-02 09:06:21.378261
PO-000003,PR-000002,SUP-006,186169.13,SENT,2024-01-02 17:14:45.901944
PO-000004,PR-000003,SUP-007,41647.08,SENT,2024-01-02 21:44:05.544388
PO-000005,PR-000003,SUP-002,91667.22,SENT,2024-01-03 07:02:48.591444
PO-000006,PR-000004,SUP-011,100341.72,SENT,2024-01-02 08:29:40.046556
PO-000007,PR-000005,SUP-010,51877.79,SENT,2024-01-02 14:54:53.525394
PO-000008,PR-000006,SUP-008,68313.46,SENT,2024-01-03 08:34:59.683432
PO-000009,PR-000006,SUP-009,157688.33,SENT,2024-01-03 04:50:13.117757
PO-000010,PR-000007,SUP-001,17016.5,SENT,2024-01-03 10:44:58.691627
PO-000011,PR-000008,SUP-009,116945.8,SENT,2024-01-03 16:16:10.556226
PO-000012,PR-000009,SUP-011,86521.06,SENT,2024-01-03 03:24:24.681117
PO-000013,PR-000009,SUP-009,15333.18,SENT,2024-01-03 04:42:22.092111
PO-000014,PR-000010,SUP-005,149712.41,SENT,2024-01-03 09:48:07.546484
PO-000015,PR-000011,SUP-003,286995.36,SENT,2024-01-03 10:45:04.278749
PO-000016,PR-000012,SUP-003,180869.76,SENT,2024-01-04 08:07:26.215856
PO-000017,PR-000013,SUP-001,225082.68,SENT,2024-01-04 07:24:11.437999
PO-000018,PR-000014,SUP-011,114600.91,SENT,2024-01-04 15:00:10.307733
PO-000019,PR-000015,SUP-003,99432.44,SENT,2024-01-04 21:58:32.189602
PO-000020,PR-000016,SUP-005,35177.8,SENT,2024-01-04 20:59:03.291445
PO-000021,PR-000017,SUP-007,286089.42,SENT,2024-01-04 19:52:36.371847
PO-000022,PR-000018,SUP-011,55554.52,SENT,2024-01-05 05:49:09.344272
PO-000023,PR-000019,SUP-011,210442.62,SENT,2024-01-05 15:31:04.006391
PO-000024,PR-000020,SUP-006,197545.58,SENT,2024-01-05 20:35:49.579105
PO-000025,PR-000021,SUP-012,184430.68,SENT,2024-01-06 03:22:36.282785
PO-000026,PR-000022,SUP-002,29143.23,SENT,2024-01-05 19:36:00.359902
PO-000027,PR-000023,SUP-007,203925.89,SENT,2024-01-05 18:13:27.847610
PO-000028,PR-000024,SUP-010,17299.2,SENT,2024-01-06 03:25:13.943578
PO-000029,PR-000025,SUP-007,9347.62,SENT,2024-01-06 15:54:30.974807
PO-000030,PR-000026,SUP-004,23077.12,SENT,2024-01-06 22:42:48.282615
PO-000031,PR-000027,SUP-009,151413.55,SENT,2024-01-06 14:34:26.855614
PO-000032,PR-000028,SUP-012,113911.66,SENT,2024-01-07 11:07:11.815140
PO-000033,PR-000028,SUP-006,167247.94,SENT,2024-01-07 00:23:49.975673
PO-000034,PR-000029,SUP-011,146789.6,SENT,2024-01-06 18:54:34.717503
PO-000035,PR-000030,SUP-012,11881.11,SENT,2024-01-07 10:47:05.012961
PO-000036,PR-000031,SUP-005,277396.01,SENT,2024-01-07 22:07:17.029571
PO-000037,PR-000032,SUP-011,42133.92,SENT,2024-01-08 01:41:22.738155
PO-000038,PR-000033,SUP-003,284339.98,SENT,2024-01-08 09:15:40.537475
PO-000039,PR-000034,SUP-005,294295.05,SENT,2024-01-08 15:43:12.395603
PO-000040,PR-000035,SUP-004,198851.77,SENT,2024-01-08 09:16:26.125162
PO-000041,PR-000036,SUP-005,136464.92,SENT,2024-01-08 13:02:50.804069
PO-000042,PR-000037,SUP-003,167927.67,SENT,2024-01-09 17:33:15.665269
PO-000043,PR-000038,SUP-002,51434.73,SENT,2024-01-09 14:48:42.262184
PO-000044,PR-000039,SUP-006,84944.91,SENT,2024-01-09 17:50:50.592319
PO-000045,PR-000040,SUP-001,65339.49,SENT,2024-01-09 16:35:39.057850
PO-000046,PR-000041,SUP-012,35176.19,SENT,2024-01-09 06:54:55.054460
PO-000047,PR-000042,SUP-005,190734.36,SENT,2024-01-09 14:45:41.761641
PO-000048,PR-000043,SUP-010,15653.4,SENT,2024-01-10 01:48:27.542057
PO-000049,PR-000044,SUP-008,77916.21,SENT,2024-01-10 11:50:13.984274
PO-000050,PR-000045,SUP-012,89248.89,SENT,2024-01-10 15:09:34.186516
PO-000051,PR-000046,SUP-011,149776.65,SENT,2024-01-11 08:58:19.252366
PO-000052,PR-000047,SUP-001,181835.8,SENT,2024-01-11 05:45:15.284467
PO-000053,PR-000047,SUP-006,28233.57,SENT,2024-01-10 19:39:30.725834
PO-000054,PR-000048,SUP-008,71666.0,SENT,2024-01-11 15:19:50.597458
PO-000055,PR-000049,SUP-001,90072.62,SENT,2024-01-11 02:48:47.538218
PO-000056,PR-000050,SUP-001,71474.0,SENT,2024-01-11 08:02:00.706830
PO-000057,PR-000051,SUP-006,693.53,SENT,2024-01-12 02:32:08.259728
PO-000058,PR-000052,SUP-008,62528.29,SENT,2024-01-11 16:24:56.436649
PO-000059,PR-000053,SUP-008,169554.56,SENT,2024-01-12 10:59:40.353203
PO-000060,PR-000054,SUP-012,15430.84,SENT,2024-01-12 10:00:57.976453
PO-000061,PR-000054,SUP-011,87731.58,SENT,2024-01-12 14:19:22.769143
PO-000062,PR-000055,SUP-002,182860.38,SENT,2024-01-12 06:21:37.815702
PO-000063,PR-000056,SUP-001,11533.06,SENT,2024-01-12 12:56:55.861542
PO-000064,PR-000057,SUP-012,85260.12,SENT,2024-01-13 05:27:16.935292
PO-000065,PR-000058,SUP-012,127432.11,SENT,2024-01-13 16:41:10.398836
PO-000066,PR-000059,SUP-007,204739.59,SENT,2024-01-13 11:25:24.694143
PO-000067,PR-000060,SUP-003,69087.58,CANCELLED,2024-01-13 14:26:49.137071
PO-000068,PR-000061,SUP-002,85079.98,SENT,2024-01-14 08:56:03.542402
PO-000069,PR-000062,SUP-001,62429.71,SENT,2024-01-13 15:29:24.601572
PO-000070,PR-000063,SUP-011,166599.68,SENT,2024-01-14 05:15:28.895996
PO-000071,PR-000064,SUP-007,151736.22,SENT,2024-01-13 19:52:57.875277
PO-000072,PR-000065,SUP-006,99831.55,SENT,2024-01-13 20:53:22.737323
PO-000073,PR-000066,SUP-001,91557.39,SENT,2024-01-14 16:55:17.646923
PO-000074,PR-000067,SUP-007,250649.66,SENT,2024-01-15 05:35:55.384233
PO-000075,PR-000068,SUP-009,55879.98,SENT,2024-01-14 23:28:06.900382
PO-000076,PR-000069,SUP-010,30139.5,SENT,2024-01-14 16:43:54.878036
PO-000077,PR-000070,SUP-012,93916.79,SENT,2024-01-15 11:13:53.445866
PO-000078,PR-000071,SUP-010,20109.32,SENT,2024-01-14 22:07:00.242948
PO-000079,PR-000072,SUP-007,154156.97,SENT,2024-01-15 10:39:02.945526
PO-000080,PR-000073,SUP-010,133384.45,SENT,2024-01-15 23:07:26.142893
PO-000081,PR-000074,SUP-004,111294.7,SENT,2024-01-15 15:17:12.602470
PO-000082,PR-000075,SUP-012,10193.22,SENT,2024-01-16 03:19:16.427019
PO-000083,PR-000076,SUP-005,25826.64,SENT,2024-01-16 11:07:47.107615
PO-000084,PR-000077,SUP-004,199423.9,SENT,2024-01-16 23:39:39.017579
PO-000085,PR-000079,SUP-011,246956.28,SENT,2024-01-17 13:46:52.099621
PO-000086,PR-000080,SUP-002,125774.35,SENT,2024-01-17 06:20:37.239654
PO-000087,PR-000081,SUP-010,61071.15,SENT,2024-01-18 02:19:59.618799
PO-000088,PR-000083,SUP-011,31778.75,SENT,2024-01-17 23:58:10.704019
