pr_no,material_code,qty,amount,requester,created_at
PR-000001,MAT-00035,187,39448.12,EMP-0011,2024-01-01 05:15:50.101343
PR-000002,MAT-00052,46,32545.21,EMP-0011,2024-01-01 12:46:23.102938
PR-000003,MAT-00032,161,33264.5,EMP-0034,2024-01-01 15:42:51.349037
PR-000004,MAT-00028,30,13342.76,EMP-0013,2024-01-01 20:50:34.046685
PR-000005,MAT-00032,10,1184.72,EMP-0010,2024-01-02 02:29:19.005188
PR-000006,MAT-00008,117,35977.13,EMP-0035,2024-01-02 03:35:09.755297
PR-000007,MAT-00049,145,88842.11,EMP-0030,2024-01-02 08:58:54.064354
PR-000008,MAT-00012,178,110619.22,EMP-0011,2024-01-02 12:37:07.405099
PR-000009,MAT-00022,48,19537.85,EMP-0025,2024-01-02 16:41:48.768268
PR-000010,MAT-00044,198,137960.55,EMP-0023,2024-01-02 20:05:35.409114
PR-000011,MAT-00029,30,16518.91,EMP-0034,2024-01-02 22:14:41.745460
PR-000012,MAT-00024,132,93534.32,EMP-0017,2024-01-03 01:45:35.086260
PR-000013,MAT-00039,154,97306.78,EMP-0006,2024-01-03 05:14:13.726301
PR-000014,MAT-00034,45,20272.05,EMP-0016,2024-01-03 12:44:47.771953
PR-000015,MAT-00021,95,67181.28,EMP-0007,2024-01-03 19:23:17.884165
PR-000016,MAT-00045,96,36249.34,EMP-0027,2024-01-04 02:18:24.590903
PR-000017,MAT-00035,80,12554.74,EMP-0032,2024-01-04 10:13:22.347405
PR-000018,MAT-00054,69,31747.75,EMP-0015,2024-01-04 14:28:41.807900
PR-000019,MAT-00031,34,17848.29,EMP-0001,2024-01-04 20:51:04.640656
PR-000020,MAT-00009,158,56610.59,EMP-0006,2024-01-05 01:16:41.983340
PR-000021,MAT-00029,147,54318.98,EMP-0030,2024-01-05 03:55:23.983340
PR-000022,MAT-00045,76,13613.17,EMP-0004,2024-01-05 06:40:38.120728
PR-000023,MAT-00036,19,8900.94,EMP-0017,2024-01-05 08:55:23.523250
PR-000024,MAT-00057,155,3897.66,EMP-0031,2024-01-05 12:20:18.337791
PR-000025,MAT-00013,9,5683.4,EMP-0019,2024-01-05 18:57:56.867501
PR-000026,MAT-00003,129,37524.22,EMP-0035,2024-01-05 22:55:40.899362
PR-000027,MAT-00001,134,87903.5,EMP-0001,2024-01-06 01:01:04.981347
PR-000028,MAT-00003,149,94035.49,EMP-0001,2024-01-06 07:32:31.404608
PR-000029,MAT-00013,176,54838.12,EMP-0015,2024-01-06 08:51:22.318891
PR-000030,MAT-00018,156,72117.8,EMP-0040,2024-01-06 16:45:28.399837
PR-000031,MAT-00012,117,70724.29,EMP-0036,2024-01-06 21:45:49.921064
PR-000032,MAT-00052,124,90007.33,EMP-0002,2024-01-07 01:52:13.028207
PR-000033,MAT-00022,54,35362.13,EMP-0005,2024-01-07 06:14:48.869540
PR-000034,MAT-00043,75,48820.4,EMP-0004,2024-01-07 08:25:49.666412
PR-000035,MAT-00035,88,7282.55,EMP-0024,2024-01-07 13:57:35.941532
PR-000036,MAT-00021,59,5692.91,EMP-0008,2024-01-07 17:14:23.202497
PR-000037,MAT-00056,180,33055.07,EMP-0038,2024-01-08 00:48:49.730395
PR-000038,MAT-00004,75,18562.35,EMP-0023,2024-01-08 04:45:01.483325
PR-000039,MAT-00028,35,9230.15,EMP-0032,2024-01-08 10:41:34.175260
PR-000040,MAT-00056,17,8745.88,EMP-0021,2024-01-08 14:44:25.972622
PR-000041,MAT-00041,114,72617.44,EMP-0012,2024-01-08 21:04:27.753842
PR-000042,MAT-00058,43,11443.31,EMP-0028,2024-01-09 01:41:35.465522
PR-000043,MAT-00004,142,11316.74,EMP-0037,2024-01-09 05:41:14.307052
PR-000044,MAT-00018,39,26740.68,EMP-0036,2024-01-09 12:04:22.529371
PR-000045,MAT-00060,79,56363.71,EMP-0004,2024-01-09 17:12:01.060323
