instance_id,process_key,business_key,status,apply_user,amount,start_time,end_time
PI-000001,purchase_requisition,PR-000001,completed,EMP-0011,39448.12,2024-01-01 05:15:50.101343,2024-01-01 11:23:54.711839
PI-000002,purchase_order,PO-000001,completed,EMP-0060,85573.08,2024-01-02 11:18:26.580607,2024-01-03 01:25:41.474943
PI-000003,goods_receipt,GR-000001,completed,EMP-0066,0.0,2024-01-04 12:41:52.634224,2024-01-04 20:27:41.051423
PI-000004,invoice_verification,INV-000001,completed,EMP-0082,85523.15,2024-01-07 15:00:45.141173,2024-01-07 23:12:12.318619
PI-000005,purchase_order,PO-000002,completed,EMP-0052,49979.72,2024-01-02 09:06:21.378261,2024-01-02 15:52:23.618457
PI-000006,goods_receipt,GR-000002,completed,EMP-0064,0.0,2024-01-04 10:45:56.372261,2024-01-04 17:57:59.680915
PI-000007,goods_receipt,GR-000003,completed,EMP-0066,0.0,2024-01-05 23:40:17.714306,2024-01-06 10:07:48.409181
PI-000008,invoice_verification,INV-000002,completed,EMP-0077,49508.84,2024-01-10 21:20:12.435627,2024-01-11 08:35:31.812531
PI-000009,purchase_requisition,PR-000002,completed,EMP-0011,32545.21,2024-01-01 12:46:23.102938,2024-01-01 21:47:35.082367
PI-000010,purchase_order,PO-000003,completed,EMP-0055,186169.13,2024-01-02 17:14:45.901944,2024-01-03 01:25:07.797672
PI-000011,goods_receipt,GR-000004,completed,EMP-0067,0.0,2024-01-04 09:30:39.611469,2024-01-04 17:39:29.159410
PI-000012,invoice_verification,INV-000003,completed,EMP-0081,185983.98,2024-01-09 00:13:39.620685,2024-01-09 14:16:03.891841
PI-000013,purchase_requisition,PR-000003,completed,EMP-0034,33264.5,2024-01-01 15:42:51.349037,2024-01-02 10:32:57.981492
PI-000014,purchase_order,PO-000004,completed,EMP-0058,41647.08,2024-01-02 21:44:05.544388,2024-01-03 00:00:02.369745
PI-000015,goods_receipt,GR-000005,completed,EMP-0064,0.0,2024-01-03 15:57:21.261700,2024-01-04 00:38:04.571468
