instance_id,process_key,act_inst_id,node_id,node_name,task_type,seq,task_id,assignee,assignee_role,start_time,end_time,outcome,duration_ms
PI-000001,purchase_requisition,PI-000001|A01,n_submit,Submit Purchase Requisition,userTask,1,TK-0000001,EMP-0011,采购申请人,2024-01-01 06:24:16.365701,2024-01-01 06:39:27.365701,approve,911000
PI-000001,purchase_requisition,PI-000001|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000004,EMP-0041,部门经理,2024-01-01 06:56:49.148680,2024-01-01 07:26:48.148680,approve,1799000
PI-000001,purchase_requisition,PI-000001|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000003,EMP-0043,部门经理,2024-01-01 07:04:24.164717,2024-01-01 09:34:56.164717,approve,9032000
PI-000001,purchase_requisition,PI-000001|A02,n_mgr_appr,Approve Requisition by Manager,userTask,2,TK-0000002,EMP-0047,部门经理,2024-01-01 07:08:43.147322,2024-01-01 07:40:10.147322,approve,1887000
PI-000001,purchase_requisition,PI-000001|A03,n_convert,Convert to Purchase Order,serviceTask,3,TK-0000005,EMP-0061,采购专员,2024-01-01 11:13:47.711839,2024-01-01 11:23:54.711839,approve,607000
PI-000002,purchase_order,PI-000002|A01,n_create_po,Create Purchase Order,serviceTask,1,TK-0000006,EMP-0060,采购专员,2024-01-02 14:45:43.574409,2024-01-02 15:09:44.574409,approve,1441000
PI-000002,purchase_order,PI-000002|A02,n_dir_appr,Approve Purchase Order by Director,userTask,2,TK-0000007,EMP-0050,采购总监,2024-01-02 15:51:54.598745,2024-01-02 18:42:24.598745,reject,10230000
PI-000002,purchase_order,PI-000002|A03,n_revise_po,Revise Purchase Order,serviceTask,3,TK-0000008,EMP-0060,采购专员,2024-01-02 21:10:31.078726,2024-01-02 21:41:28.078726,approve,1857000
PI-000002,purchase_order,PI-000002|A04,n_create_po,Create Purchase Order,serviceTask,4,TK-0000009,EMP-0052,采购专员,2024-01-03 00:07:13.197367,2024-01-03 00:21:59.197367,approve,886000
PI-000002,purchase_order,PI-000002|A05,n_send_po,Send Order to Supplier,serviceTask,5,TK-0000010,EMP-0056,采购专员,2024-01-03 01:23:15.474943,2024-01-03 01:25:41.474943,approve,146000
PI-000003,goods_receipt,PI-000003|A01,n_post_gr,Post Goods Receipt,serviceTask,1,TK-0000011,EMP-0066,仓储专员,2024-01-04 14:50:52.834627,2024-01-04 15:17:25.834627,approve,1593000
PI-000003,goods_receipt,PI-000003|A02,n_inspect,Quality Inspection,userTask,2,TK-0000012,EMP-0072,质检员,2024-01-04 17:05:23.045810,2024-01-04 17:51:28.045810,approve,2765000
PI-000003,goods_receipt,PI-000003|A03,n_putaway,Putaway to Warehouse,serviceTask,3,TK-0000013,EMP-0065,仓储专员,2024-01-04 20:14:45.051423,2024-01-04 20:27:41.051423,approve,776000
PI-000004,invoice_verification,PI-000004|A01,n_enter_inv,Enter Incoming Invoice,userTask,1,TK-0000014,EMP-0082,财务专员,2024-01-07 16:02:51.402291,2024-01-07 16:26:31.402291,approve,1420000
PI-000004,invoice_verification,PI-000004|A02,n_match,Three-Way Match,serviceTask,2,TK-0000015,EMP-0080,财务专员,2024-01-07 18:11:03.860876,2024-01-07 18:17:57.860876,approve,414000
PI-000004,invoice_verification,PI-000004|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000017,EMP-0086,应付会计,2024-01-07 18:31:04.594327,2024-01-07 19:23:39.594327,approve,3155000
PI-000004,invoice_verification,PI-000004|A03,n_appr_inv,Approve Invoice,userTask,3,TK-0000016,EMP-0083,应付会计,2024-01-07 19:46:42.534636,2024-01-07 21:01:41.534636,approve,4499000
PI-000004,invoice_verification,PI-000004|A04,n_pay,Post Payment,serviceTask,4,TK-0000018,EMP-0089,出纳,2024-01-07 22:05:23.805551,2024-01-07 22:35:16.805551,approve,1793000
PI-000004,invoice_verification,PI-000004|A05,n_clear,Clear Invoice,serviceTask,5,TK-0000019,EMP-0087,应付会计,2024-01-07 23:03:17.318619,2024-01-07 23:12:12.318619,approve,535000
