instance_id,name,value
PI-000001,prNo,PR-000001
PI-000001,materialCode,MAT-00035
PI-000001,amount,39448.12
PI-000002,prNo,PR-000001
PI-000002,poNo,PO-000001
PI-000002,amount,85573.08
PI-000002,supplierCode,SUP-011
PI-000003,poNo,PO-000001
PI-000003,grNo,GR-000001
PI-000003,materialCode,MAT-00035
PI-000004,poNo,PO-000001
PI-000004,invoiceNo,INV-000001
PI-000004,amount,85523.15
PI-000005,prNo,PR-000001
PI-000005,poNo,PO-000002
PI-000005,amount,49979.72
PI-000005,supplierCode,SUP-002
PI-000006,poNo,PO-000002
PI-000006,grNo,GR-000002
PI-000006,materialCode,MAT-00031
PI-000007,poNo,PO-000002
PI-000007,grNo,GR-000003
PI-000007,materialCode,MAT-00031
PI-000008,poNo,PO-000002
PI-000008,invoiceNo,INV-000002
PI-000008,amount,49508.84
PI-000009,prNo,PR-000002
PI-000009,materialCode,MAT-00052
PI-000009,amount,32545.21
PI-000010,prNo,PR-000002
PI-000010,poNo,PO-000003
PI-000010,amount,186169.13
PI-000010,supplierCode,SUP-006
PI-000011,poNo,PO-000003
PI-000011,grNo,GR-000004
PI-000011,materialCode,MAT-00013
PI-000012,poNo,PO-000003
PI-000012,invoiceNo,INV-000003
PI-000012,amount,185983.98
PI-000013,prNo,PR-000003
PI-000013,materialCode,MAT-00032
PI-000013,amount,33264.5
PI-000014,prNo,PR-000003
PI-000014,poNo,PO-000004
PI-000014,amount,41647.08
PI-000014,supplierCode,SUP-007
PI-000015,poNo,PO-000004
PI-000015,grNo,GR-000005
PI-000015,materialCode,MAT-00032
PI-000016,poNo,PO-000004
PI-000016,invoiceNo,INV-000004
PI-000016,amount,42005.27
PI-000017,prNo,PR-000003
PI-000017,poNo,PO-000005
PI-000017,amount,91667.22
PI-000017,supplierCode,SUP-002
PI-000018,poNo,PO-000005
PI-000018,grNo,GR-000006
PI-000018,materialCode,MAT-00025
PI-000019,poNo,PO-000005
PI-000019,grNo,GR-000007
PI-000019,materialCode,MAT-00032
PI-000020,poNo,PO-000005
PI-000020,invoiceNo,INV-000005
PI-000020,amount,90146.21
PI-000021,prNo,PR-000004
PI-000021,materialCode,MAT-00028
PI-000021,amount,13342.76
PI-000022,prNo,PR-000004
PI-000022,poNo,PO-000006
PI-000022,amount,100341.72
PI-000022,supplierCode,SUP-011
PI-000023,poNo,PO-000006
PI-000023,grNo,GR-000008
PI-000023,materialCode,MAT-00049
PI-000024,poNo,PO-000006
PI-000024,invoiceNo,INV-000006
PI-000024,amount,100230.22
PI-000025,prNo,PR-000005
PI-000025,materialCode,MAT-00032
PI-000025,amount,1184.72
PI-000026,prNo,PR-000005
PI-000026,poNo,PO-000007
PI-000026,amount,51877.79
PI-000026,supplierCode,SUP-010
PI-000027,poNo,PO-000007
PI-000027,grNo,GR-000009
PI-000027,materialCode,MAT-00032
PI-000028,poNo,PO-000007
PI-000028,invoiceNo,INV-000007
PI-000028,amount,52336.24
PI-000029,prNo,PR-000006
PI-000029,materialCode,MAT-00008
PI-000029,amount,35977.13
PI-000030,prNo,PR-000006
PI-000030,poNo,PO-000008
PI-000030,amount,68313.46
PI-000030,supplierCode,SUP-008
PI-000031,poNo,PO-000008
PI-000031,grNo,GR-000010
PI-000031,materialCode,MAT-00024
PI-000032,poNo,PO-000008
PI-000032,grNo,GR-000011
PI-000032,materialCode,MAT-00044
PI-000033,poNo,PO-000008
PI-000033,invoiceNo,INV-000008
PI-000033,amount,68181.08
PI-000034,prNo,PR-000006
PI-000034,poNo,PO-000009
PI-000034,amount,157688.33
PI-000034,supplierCode,SUP-009
PI-000035,poNo,PO-000009
PI-000035,grNo,GR-000012
PI-000035,materialCode,MAT-00055
PI-000036,poNo,PO-000009
PI-000036,grNo,GR-000013
PI-000036,materialCode,MAT-00008
PI-000037,poNo,PO-000009
PI-000037,invoiceNo,INV-000009
PI-000037,amount,157085.47
PI-000038,prNo,PR-000007
PI-000038,materialCode,MAT-00049
PI-000038,amount,88842.11
PI-000039,prNo,PR-000007
PI-000039,poNo,PO-000010
PI-000039,amount,17016.5
PI-000039,supplierCode,SUP-001
